Year,Level of award,Gender,All students,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian or Other Pacific Islander,White,Two or more races,Race/ethnicity unknown,Nonresident
18-19,Total awards,All students,5144436,31913,321030,570506,828075,12169,2703429,161577,207971,307766
18-19,Total awards,Men,2136345,12196,139761,197555,321469,5173,1142793,64587,88601,164210
18-19,Total awards,Women,3008091,19717,181269,372951,506606,6996,1560636,96990,119370,143556
18-19,Less-than-1-year,All students,548616,5004,25823,81043,113491,1535,276580,15463,22272,7405
18-19,Less-than-1-year,Men,258362,2393,10197,34503,51006,723,138794,6628,10725,3393
18-19,Less-than-1-year,Women,290254,2611,15626,46540,62485,812,137786,8835,11547,4012
18-19,At-least-1- but less- than-2-years,All students,429364,4979,19267,67309,104615,1481,197748,13432,15474,5059
18-19,At-least-1- but less- than-2-years,Men,162463,1961,7804,20864,38341,589,78815,5024,6763,2302
18-19,At-least-1- but less- than-2-years,Women,266901,3018,11463,46445,66274,892,118933,8408,8711,2757
18-19,Associate's degrees,All students,1036654,8732,58728,120595,238426,2942,511122,35131,36525,24453
18-19,Associate's degrees,Men,407220,3052,25634,39778,89188,1253,208222,13755,15377,10961
18-19,Associate's degrees,Women,629434,5680,33094,80817,149238,1689,302900,21376,21148,13492
18-19,At-least-2- but less- than-4-years,All students,24547,205,1102,3105,4380,128,13594,932,817,284
18-19,At-least-2- but less- than-4-years,Men,14877,112,595,1974,2958,69,7900,573,526,170
18-19,At-least-2- but less- than-4-years,Women,9670,93,507,1131,1422,59,5694,359,291,114
18-19,Bachelor's degrees,All students,2013086,8833,146085,189320,274727,4309,1146769,71039,69607,102397
18-19,Bachelor's degrees,Men,857607,3290,66168,68041,107236,1860,496860,29104,30398,54650
18-19,Bachelor's degrees,Women,1155479,5543,79917,121279,167491,2449,649909,41935,39209,47747
18-19,Postbaccalaureate certificates,All students,48696,199,2501,5321,4165,75,27117,1271,3568,4479
18-19,Postbaccalaureate certificates,Men,17624,62,971,1600,1350,34,9600,428,1355,2224
18-19,Postbaccalaureate certificates,Women,31072,137,1530,3721,2815,41,17517,843,2213,2255
18-19,Master's degrees,All students,833792,3200,47106,86587,73474,1407,416749,19133,47972,138164
18-19,Master's degrees,Men,326201,1014,19786,25518,25355,522,153315,6972,18344,75375
18-19,Master's degrees,Women,507591,2186,27320,61069,48119,885,263434,12161,29628,62789
18-19,Post-master's certificates,All students,22104,81,912,3137,1518,19,12867,400,1542,1628
18-19,Post-master's certificates,Men,6220,22,307,585,399,8,3653,104,441,701
18-19,Post-master's certificates,Women,15884,59,605,2552,1119,11,9214,296,1101,927
18-19,Doctor's degrees- research/scholarship,All students,73516,232,4028,6153,3986,74,33294,1450,3968,20331
18-19,Doctor's degrees- research/scholarship,Men,36265,93,1830,1973,1660,36,15445,586,1786,12856
18-19,Doctor's degrees- research/scholarship,Women,37251,139,2198,4180,2326,38,17849,864,2182,7475
18-19,Doctor's degrees- professional practice,All students,111898,435,15323,7630,9118,196,66441,3232,6091,3432
18-19,Doctor's degrees- professional practice,Men,48730,195,6424,2590,3925,79,29783,1385,2834,1515
18-19,Doctor's degrees- professional practice,Women,63168,240,8899,5040,5193,117,36658,1847,3257,1917
18-19,Doctor's degrees-other,All students,2163,13,155,306,175,3,1148,94,135,134
18-19,Doctor's degrees-other,Men,776,2,45,129,51,0,406,28,52,63
18-19,Doctor's degrees-other,Women,1387,11,110,177,124,3,742,66,83,71
19-20,Total awards,All students,5137005,30542,329675,559799,857745,11685,2663434,169732,203964,310429
19-20,Total awards,Men,2110754,11477,143723,191348,328625,4851,1114074,67159,84244,165253
19-20,Total awards,Women,3026251,19065,185952,368451,529120,6834,1549360,102573,119720,145176
19-20,Less-than-12-weeks,All students,85806,618,3305,10301,15139,189,49523,2662,3313,756
19-20,Less-than-12-weeks,Men,32066,228,1083,3758,5130,77,19320,875,1365,230
19-20,Less-than-12-weeks,Women,53740,390,2222,6543,10009,112,30203,1787,1948,526
19-20,At-least-12-weeks but less-than-1-year,All students,429843,3729,20396,65204,92686,1110,210417,12755,17003,6543
19-20,At-least-12-weeks but less-than-1-year,Men,210035,1757,8488,27771,43102,470,111124,5790,8440,3093
19-20,At-least-12-weeks but less-than-1-year,Women,219808,1972,11908,37433,49584,640,99293,6965,8563,3450
19-20,At-least-1- but less- than-2-years,All students,428277,4840,19905,64596,107601,1347,193377,14077,17378,5156
19-20,At-least-1- but less- than-2-years,Men,162729,1975,8405,19697,39623,564,77594,5310,7225,2336
19-20,At-least-1- but less- than-2-years,Women,265548,2865,11500,44899,67978,783,115783,8767,10153,2820
19-20,Associate's degrees,All students,1019055,8138,59610,115347,246297,2770,490623,36466,36206,23598
19-20,Associate's degrees,Men,393384,2807,25885,37651,90435,1165,196763,14014,14152,10512
19-20,Associate's degrees,Women,625671,5331,33725,77696,155862,1605,293860,22452,22054,13086
19-20,At-least-2- but less- than-4-years,All students,22705,132,1097,3157,4166,106,12084,933,761,269
19-20,At-least-2- but less- than-4-years,Men,14143,71,619,2037,2839,56,7314,606,460,141
19-20,At-least-2- but less- than-4-years,Women,8562,61,478,1120,1327,50,4770,327,301,128
19-20,Bachelor's degrees,All students,2038682,8829,151529,190341,292101,4225,1142455,74949,68050,106203
19-20,Bachelor's degrees,Men,861384,3222,68438,67686,112939,1840,490593,30482,29335,56849
19-20,Bachelor's degrees,Women,1177298,5607,83091,122655,179162,2385,651862,44467,38715,49354
19-20,Postbaccalaureate certificates,All students,54914,220,3236,6263,5034,78,30866,1508,3177,4532
19-20,Postbaccalaureate certificates,Men,19480,80,1263,1758,1660,24,10774,502,1246,2173
19-20,Postbaccalaureate certificates,Women,35434,140,1973,4505,3374,54,20092,1006,1931,2359
19-20,Master's degrees,All students,843531,3307,49476,86592,79069,1546,419183,20693,46298,137367
19-20,Master's degrees,Men,325711,1060,20642,25578,26645,547,152143,7356,17220,74520
19-20,Master's degrees,Women,517820,2247,28834,61014,52424,999,267040,13337,29078,62847
19-20,Post-master's certificates,All students,24059,91,1060,3289,1667,29,13609,515,1739,2060
19-20,Post-master's certificates,Men,6602,28,340,611,438,6,3702,110,463,904
19-20,Post-master's certificates,Women,17457,63,720,2678,1229,23,9907,405,1276,1156
19-20,Doctor's degrees- research/scholarship,All students,73423,207,3927,6231,4041,91,33110,1528,3788,20500
19-20,Doctor's degrees- research/scholarship,Men,35919,77,1805,1957,1669,29,15114,633,1632,13003
19-20,Doctor's degrees- research/scholarship,Women,37504,130,2122,4274,2372,62,17996,895,2156,7497
19-20,Doctor's degrees- professional practice,All students,114413,423,15935,8113,9740,189,66992,3563,6124,3334
19-20,Doctor's degrees- professional practice,Men,48492,169,6678,2714,4088,71,29231,1452,2646,1443
19-20,Doctor's degrees- professional practice,Women,65921,254,9257,5399,5652,118,37761,2111,3478,1891
19-20,Doctor's degrees-other,All students,2297,8,199,365,204,5,1195,83,127,111
19-20,Doctor's degrees-other,Men,809,3,77,130,57,2,402,29,60,49
19-20,Doctor's degrees-other,Women,1488,5,122,235,147,3,793,54,67,62
20-21,Total awards,All students,5242994,30791,344399,587071,906230,12096,2674671,177695,213074,296967
20-21,Total awards,Men,2098351,11020,146815,193340,332945,4841,1097701,68675,86084,156930
20-21,Total awards,Women,3144643,19771,197584,393731,573285,7255,1576970,109020,126990,140037
20-21,Less-than-12-weeks,All students,85704,627,2783,11894,14222,219,49509,2623,3209,618
20-21,Less-than-12-weeks,Men,32585,209,823,4656,4591,92,19838,892,1310,174
20-21,Less-than-12-weeks,Women,53119,418,1960,7238,9631,127,29671,1731,1899,444
20-21,At-least-12-weeks but less-than-1-year,All students,459212,3880,20298,71504,99866,1177,223718,14353,17813,6603
20-21,At-least-12-weeks but less-than-1-year,Men,209632,1710,7953,27352,43477,493,111404,6132,7994,3117
20-21,At-least-12-weeks but less-than-1-year,Women,249580,2170,12345,44152,56389,684,112314,8221,9819,3486
20-21,At-least-1- but less- than-2-years,All students,424293,4543,19773,64093,106723,1411,187986,14194,21081,4489
20-21,At-least-1- but less- than-2-years,Men,152823,1752,7716,18352,36758,509,72804,5021,8027,1884
20-21,At-least-1- but less- than-2-years,Women,271470,2791,12057,45741,69965,902,115182,9173,13054,2605
20-21,Associate's degrees,All students,1037331,7869,62876,119446,257018,2959,490802,37686,36363,22312
20-21,Associate's degrees,Men,383381,2555,26219,36791,88488,1179,190225,13866,14478,9580
20-21,Associate's degrees,Women,653950,5314,36657,82655,168530,1780,300577,23820,21885,12732
20-21,At-least-2- but less- than-4-years,All students,22620,132,987,2988,4324,119,12087,881,822,280
20-21,At-least-2- but less- than-4-years,Men,14490,83,519,1894,3002,64,7652,546,587,143
20-21,At-least-2- but less- than-4-years,Women,8130,49,468,1094,1322,55,4435,335,235,137
20-21,Bachelor's degrees,All students,2066463,9200,159027,199024,313547,4258,1130698,78590,69372,102747
20-21,Bachelor's degrees,Men,860797,3280,71166,69360,118754,1797,480864,31823,29515,54238
20-21,Bachelor's degrees,Women,1205666,5920,87861,129664,194793,2461,649834,46767,39857,48509
20-21,Postbaccalaureate certificates,All students,62006,274,3632,7075,5946,95,34165,1725,3785,5309
20-21,Postbaccalaureate certificates,Men,22040,84,1425,2115,1961,37,11986,577,1342,2513
20-21,Postbaccalaureate certificates,Women,39966,190,2207,4960,3985,58,22179,1148,2443,2796
20-21,Master's degrees,All students,866937,3527,52875,91630,87264,1559,430161,21698,48518,129705
20-21,Master's degrees,Men,330730,1057,21890,27063,29169,542,155078,7561,17896,70474
20-21,Master's degrees,Women,536207,2470,30985,64567,58095,1017,275083,14137,30622,59231
20-21,Post-master's certificates,All students,24376,88,1235,3538,1815,38,14020,526,1691,1425
20-21,Post-master's certificates,Men,6510,25,383,634,496,12,3694,110,462,694
20-21,Post-master's certificates,Women,17866,63,852,2904,1319,26,10326,416,1229,731
20-21,Doctor's degrees- research/scholarship,All students,72426,203,3865,7124,4405,85,31220,1580,3965,19979
20-21,Doctor's degrees- research/scholarship,Men,34767,75,1669,2173,1813,31,14030,630,1686,12660
20-21,Doctor's degrees- research/scholarship,Women,37659,128,2196,4951,2592,54,17190,950,2279,7319
20-21,Doctor's degrees- professional practice,All students,119220,437,16825,8379,10857,167,69093,3777,6305,3380
20-21,Doctor's degrees- professional practice,Men,49756,184,6958,2819,4360,84,29722,1499,2725,1405
