year,state_or_jurisdiction,all_students_men,all_students_women,american_indian_or_alaska_native_men,american_indian_or_alaska_native_women,asian_men,asian_women,black_or_african_american_men,black_or_african_american_women,hispanic_or_latino_men,hispanic_or_latino_women,native_hawaiian_or_other_pacific_islander_men,native_hawaiian_or_other_pacific_islander_women,white_men,white_women,two_or_more_races_men,two_or_more_races_women,race_ethnicity_unknown_men,race_ethnicity_unknown_women,nonresident_men,nonresident_women
18-19,Alabama,168607,225206,1061,1438,3259,3919,34257,64011,6561,7933,193,255,102444,128668,3713,5658,10517,9389,6602,3935
18-19,Alaska,16171,25849,1642,3211,647,1128,423,715,1066,1820,184,347,8819,13605,1206,2161,1852,2505,332,357
18-19,Arizona,343299,538936,6605,12800,12656,18100,30968,72404,76969,123278,1429,2243,155726,226953,12121,19574,33146,55506,13679,8078
18-19,Arkansas,81844,121698,611,912,1613,1918,11516,21692,5592,7791,88,142,55003,80950,3015,4218,1033,1409,3373,2666
18-19,California,1662243,2089693,5776,7695,238722,279721,99951,148169,610795,851189,7950,9340,449015,532055,71181,92145,87487,86473,91366,82906
18-19,Colorado,218553,287974,1818,2586,7492,9930,13517,21727,34698,50158,610,771,125860,156116,9216,12359,16749,27975,8593,6352
18-19,Connecticut,109218,151699,263,423,5762,7293,13061,22570,15690,24847,125,181,57364,76843,3825,5529,6062,8144,7066,5869
18-19,Delaware,28690,47429,87,201,1172,1418,5335,11325,2366,4138,35,65,15037,24688,895,1619,1021,1566,2742,2409
18-19,District of Columbia,45954,71763,113,220,3006,4478,8550,20666,4050,6594,82,133,19556,26521,1282,2214,3175,4427,6140,6510
18-19,Florida,628806,878059,1865,2552,21791,26467,96143,175043,170834,241304,1436,1785,261706,332378,18830,27046,25225,43482,30976,28002
18-19,Georgia,279178,418020,903,1574,17891,18292,73982,147510,22299,33203,368,510,132910,180117,8357,12809,6702,10720,15766,13285
