year,level_of_institution,distance_education_status_of_student,total_undergraduate,total_graduate,public_undergraduate,public_graduate,private_nonprofit_undergraduate,private_nonprofit_graduate,private_for_profit_undergraduate,private_for_profit_graduate
19-20,All students,All students,22201771,3890015,17187206,1838291,3380621,1687116,1633944,364608
19-20,All students,Enrolled exclusively in distance education courses,4279986,1444823,2770058,555781,764262,571808,745666,317234
19-20,All students,"Enrolled in at least one, but not all, distance education courses",6809767,688968,5927752,343189,697180,321933,184835,23846
19-20,All students,Not enrolled in any distance education courses,11112018,1756224,8489396,939321,1919179,793375,703443,23528
19-20,4-year,All students,13678861,3890015,9401281,1838291,3296196,1687116,981384,364608
19-20,4-year,Enrolled exclusively in distance education courses,2716291,1444823,1262713,555781,732603,571808,720975,317234
19-20,4-year,"Enrolled in at least one, but not all, distance education courses",4479390,688968,3656177,343189,688244,321933,134969,23846
19-20,4-year,Not enrolled in any distance education courses,6483180,1756224,4482391,939321,1875349,793375,125440,23528
19-20,2-year,All students,8093793,0,7701143,0,72716,0,319934,0
19-20,2-year,Enrolled exclusively in distance education courses,1560391,0,1505322,0,31613,0,23456,0
19-20,2-year,"Enrolled in at least one, but not all, distance education courses",2314620,0,2267893,0,8643,0,38084,0
19-20,2-year,Not enrolled in any distance education courses,4218782,0,3927928,0,32460,0,258394,0
19-20,Less-than-2-year,All students,429117,0,84782,0,11709,0,332626,0
19-20,Less-than-2-year,Enrolled exclusively in distance education courses,3304,0,2023,0,46,0,1235,0
19-20,Less-than-2-year,"Enrolled in at least one, but not all, distance education courses",15757,0,3682,0,293,0,11782,0
19-20,Less-than-2-year,Not enrolled in any distance education courses,410056,0,79077,0,11370,0,319609,0
20-21,All students,All students,21362185,3986944,16336348,1903855,3308591,1722102,1717246,360987
20-21,All students,Enrolled exclusively in distance education courses,9275623,2095928,7307567,914604,1135218,859375,832838,321949
20-21,All students,"Enrolled in at least one, but not all, distance education courses",7450675,1045136,5913945,573789,1290538,447918,246192,23429
20-21,All students,Not enrolled in any distance education courses,4635887,845880,3114836,415462,882835,414809,638216,15609
20-21,4-year,All students,13437879,3986939,9205479,1903855,3228198,1722097,1004202,360987
20-21,4-year,Enrolled exclusively in distance education courses,5786307,2095928,3900773,914604,1100702,859375,784832,321949
20-21,4-year,"Enrolled in at least one, but not all, distance education courses",5385659,1045136,3969888,573789,1278794,447918,136977,23429
20-21,4-year,Not enrolled in any distance education courses,2265913,845875,1334818,415462,848702,414804,82393,15609
20-21,2-year,All students,7464663,5,7044802,0,68033,5,351828,0
20-21,2-year,Enrolled exclusively in distance education courses,3481593,0,3406193,0,33723,0,41677,0
20-21,2-year,"Enrolled in at least one, but not all, distance education courses",2034828,0,1942249,0,11069,0,81510,0
20-21,2-year,Not enrolled in any distance education courses,1948242,5,1696360,0,23241,5,228641,0
20-21,Less-than-2-year,All students,459643,0,86067,0,12360,0,361216,0
20-21,Less-than-2-year,Enrolled exclusively in distance education courses,7723,0,601,0,793,0,6329,0
20-21,Less-than-2-year,"Enrolled in at least one, but not all, distance education courses",30188,0,1808,0,675,0,27705,0
20-21,Less-than-2-year,Not enrolled in any distance education courses,421732,0,83658,0,10892,0,327182,0
