year,level_of_institution,type_of_aid_awarded,family_income_level,public_average_cost_of_attendance,public_average_grant_scholarship_aid,public_net_price,private_nonprofit_average_cost_of_attendance,private_nonprofit_average_grant_scholarship_aid,private_nonprofit_net_price,private_for_profit_average_cost_of_attendance,private_for_profit_average_grant_scholarship_aid,private_for_profit_net_price
18-19,4-year,Students awarded any grant aid,All family income levels,20396,7787,12609,42543,19594,22949,29819,6714,23105
18-19,4-year,Students awarded Title IV aid,All family income levels,20495,7549,12946,42721,20302,22419,29763,6221,23542
18-19,4-year,Students awarded Title IV aid,"$0-30,000",20495,10865,9630,42721,24965,17756,29763,7332,22431
18-19,4-year,Students awarded Title IV aid,"$30,001-48,000",20495,9816,10678,42721,25119,17601,29763,6984,22779
18-19,4-year,Students awarded Title IV aid,"$48,001-75,000",20495,6915,13580,42721,22901,19820,29763,5649,24115
18-19,4-year,Students awarded Title IV aid,"$75,001-110,000",20495,3854,16641,42721,20544,22177,29763,3502,26261
18-19,4-year,Students awarded Title IV aid,"$110,001 and more",20495,2382,18112,42721,17047,25674,29763,3309,26454
18-19,2-year,Students awarded any grant aid,All family income levels,12928,5441,7488,26539,7166,19373,26823,5859,20964
18-19,2-year,Students awarded Title IV aid,All family income levels,13040,5768,7272,26508,6759,19750,26637,5254,21383
18-19,2-year,Students awarded Title IV aid,"$0-30,000",13040,6854,6186,26508,8318,18190,26637,6095,20542
18-19,2-year,Students awarded Title IV aid,"$30,001-48,000",13040,6197,6843,26508,7686,18822,26637,5452,21185
18-19,2-year,Students awarded Title IV aid,"$48,001-75,000",13040,4146,8894,26508,6518,19990,26637,3640,22997
18-19,2-year,Students awarded Title IV aid,"$75,001-110,000",13040,2045,10995,26508,4472,22036,26637,1408,25229
18-19,2-year,Students awarded Title IV aid,"$110,001 and more",13040,1026,12015,26508,2733,23775,26637,904,25733
18-19,Less-than-2-year,Students awarded any grant aid,All family income levels,17221,5241,11980,26362,4349,22014,33568,5824,27744
18-19,Less-than-2-year,Students awarded Title IV aid,All family income levels,17547,5003,12544,26400,3377,23023,31572,5378,26194
18-19,Less-than-2-year,Students awarded Title IV aid,"$0-30,000",17547,5774,11773,26400,4760,21640,31572,5979,25593
18-19,Less-than-2-year,Students awarded Title IV aid,"$30,001-48,000",17547,4754,12793,26400,2723,23677,31572,4968,26605
18-19,Less-than-2-year,Students awarded Title IV aid,"$48,001-75,000",17547,3944,13603,26400,2206,24193,31572,3918,27654
18-19,Less-than-2-year,Students awarded Title IV aid,"$75,001-110,000",17547,2669,14877,26400,,,31572,1317,30255
18-19,Less-than-2-year,Students awarded Title IV aid,"$110,001 and more",17547,42,17505,26400,,,31572,1012,30560
19-20,4-year,Students awarded any grant aid,All family income levels,20682,7889,12793,43708,20382,23326,30697,6911,23786
