year,level_of_institution,control_of_institution,gender,all_students,american_indian_or_alaska_native,asian,black_or_african_american,hispanic_or_latino,native_hawaiian_or_other_pacific_islander,white,two_or_more_races,race_ethnicity_unknown,nonresident,level_of_institution_footnote
18-19,All 4-year institutions (cohort year 2013),Total,Total,59.5,35.3,73.8,40,52.9,49.7,63.7,55.9,52.6,70.5,2
18-19,All 4-year institutions (cohort year 2013),Total,Men,56.2,32.4,70.3,34.3,48.2,45.6,60.6,52.3,49.7,66.2,2
18-19,All 4-year institutions (cohort year 2013),Total,Women,62.3,37.6,76.9,44.2,56.4,53,66.4,58.6,55.1,75.7,2
18-19,All 4-year institutions (cohort year 2013),Public,Total,57.9,32.8,71.7,39.9,50.3,47.8,61.8,53.4,57.7,67.6,2
18-19,All 4-year institutions (cohort year 2013),Public,Men,54.5,30.3,68.1,33.8,45.5,43.3,58.6,49.7,54.4,63.7,2
18-19,All 4-year institutions (cohort year 2013),Public,Women,60.8,34.9,75.2,44.3,54.1,51.7,64.7,56.4,60.8,72.7,2
18-19,All 4-year institutions (cohort year 2013),Private nonprofit,Total,66.8,44.1,80.5,45.3,63.1,56.5,70.3,64.4,60.1,75.2,2
18-19,All 4-year institutions (cohort year 2013),Private nonprofit,Men,63.1,39.1,78.3,38.6,59,51.5,67,60.6,57.1,70.6,2
18-19,All 4-year institutions (cohort year 2013),Private nonprofit,Women,69.8,48,82.1,50.6,66,60.2,72.9,67.1,62.5,80.2,2
18-19,All 4-year institutions (cohort year 2013),Private for-profit,Total,35.4,32.8,56,24.2,47.8,44.2,36.4,39.6,21.7,62.5,2
18-19,All 4-year institutions (cohort year 2013),Private for-profit,Men,34.4,33,55.3,23.3,44,45,37.5,43.2,20.1,59.7,2
18-19,All 4-year institutions (cohort year 2013),Private for-profit,Women,36,32.8,56.6,24.9,50.1,43.7,35.7,36.7,23.1,65.4,2
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Total,Total,63.4,40.8,76.1,44.3,57.9,53.4,66.7,59.3,59,72.3,
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Total,Men,59.9,37.9,72.9,38,53.3,49.5,63.4,55.6,55.7,67.7,
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Total,Women,66.3,43,78.9,48.9,61.3,56.5,69.4,62.1,62,77.9,
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Public,Total,62.4,39.7,74.5,44.7,56.8,54.4,65.3,57.4,64.2,70.3,
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Public,Men,59,37.3,71.2,38.4,52,50.1,62.1,53.7,60.9,66,
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Public,Women,65.2,41.6,77.6,49,60.4,58.2,68.1,60.3,67.2,76.2,
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Private nonprofit,Total,67.9,48.5,81,46.7,63.9,58.2,71,65.5,61.8,75.3,
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Private nonprofit,Men,64.1,43,79,39.7,60.1,53.6,67.7,61.8,58.2,70.6,
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Private nonprofit,Women,71,52.7,82.5,52.6,66.6,61.6,73.7,68.1,64.6,80.4,
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Private for-profit,Total,26.3,14.2,47.2,19.2,29.9,22.4,27.4,33.4,18.1,58.2,
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Private for-profit,Men,27.6,19.6,44.8,19.5,29.4,21.6,30.1,38.3,19.5,53.6,
