file_path,file_name,report_type,academic_year,sheet_count,sheet_names
/Users/ash/Desktop/Project/reporting-sys/data/awards_by_demo/awards_by_demo_18-19.xlsx,awards_by_demo_18-19.xlsx,awards_by_demo,18-19,1,27427
/Users/ash/Desktop/Project/reporting-sys/data/awards_by_demo/awards_by_demo_19-20.xlsx,awards_by_demo_19-20.xlsx,awards_by_demo,19-20,1,Table11
/Users/ash/Desktop/Project/reporting-sys/data/awards_by_demo/awards_by_demo_20-21.xlsx,awards_by_demo_20-21.xlsx,awards_by_demo,20-21,1,32465
/Users/ash/Desktop/Project/reporting-sys/data/awards_by_demo/awards_by_demo_21-22.xlsx,awards_by_demo_21-22.xlsx,awards_by_demo,21-22,1,35949
/Users/ash/Desktop/Project/reporting-sys/data/awards_by_demo/awards_by_demo_22-23.xlsx,awards_by_demo_22-23.xlsx,awards_by_demo,22-23,1,36308
/Users/ash/Desktop/Project/reporting-sys/data/awards_by_demo/awards_by_demo_23-24.xlsx,awards_by_demo_23-24.xlsx,awards_by_demo,23-24,1,Table05
/Users/ash/Desktop/Project/reporting-sys/data/enrollment_by_demo/enrollment_by_demo_18-19.xlsx,enrollment_by_demo_18-19.xlsx,enrollment_by_demo,18-19,1,36127
/Users/ash/Desktop/Project/reporting-sys/data/enrollment_by_demo/enrollment_by_demo_19-20.xlsx,enrollment_by_demo_19-20.xlsx,enrollment_by_demo,19-20,1,Table22
/Users/ash/Desktop/Project/reporting-sys/data/enrollment_by_demo/enrollment_by_demo_20-21.xlsx,enrollment_by_demo_20-21.xlsx,enrollment_by_demo,20-21,1,36337
/Users/ash/Desktop/Project/reporting-sys/data/enrollment_by_demo/enrollment_by_demo_21-22.xlsx,enrollment_by_demo_21-22.xlsx,enrollment_by_demo,21-22,1,36469
/Users/ash/Desktop/Project/reporting-sys/data/enrollment_by_demo/enrollment_by_demo_22-23.xlsx,enrollment_by_demo_22-23.xlsx,enrollment_by_demo,22-23,1,36574
/Users/ash/Desktop/Project/reporting-sys/data/enrollment_by_level/enrollment_by_level_19-20.xlsx,enrollment_by_level_19-20.xlsx,enrollment_by_level,19-20,1,Table20
/Users/ash/Desktop/Project/reporting-sys/data/enrollment_by_level/enrollment_by_level_20-21.xlsx,enrollment_by_level_20-21.xlsx,enrollment_by_level,20-21,1,32469
/Users/ash/Desktop/Project/reporting-sys/data/enrollment_by_level/enrollment_by_level_21-22.xlsx,enrollment_by_level_21-22.xlsx,enrollment_by_level,21-22,1,35953
/Users/ash/Desktop/Project/reporting-sys/data/enrollment_by_level/enrollment_by_level_22-23.xlsx,enrollment_by_level_22-23.xlsx,enrollment_by_level,22-23,1,36312
/Users/ash/Desktop/Project/reporting-sys/data/enrollment_by_level/enrollment_by_level_23-24.xlsx,enrollment_by_level_23-24.xlsx,enrollment_by_level,23-24,1,Table09
